Module,Object,Type,Path,,
login,username_textbox,ID,idp-discovery-username,,
login,password_textbox,NAME,passwd,,
login,username_button,ID,idp-discovery-submit,,
login,password_button,XPATH,"//input[@value=""Sign in""]",,
login,username_signin,XPATH,"//input[@type=""email""]",,
login,btn_signin_submit,XPATH,"//input[@type=""submit""]",,
login,oktapassword_textbox,ID,okta-signin-password,,
login,oktapassword_button,ID,okta-signin-submit,,
login,home_button,ID,logo-link,,
login,home_button2,ID,logo-Img,,
Results,main_container,XPATH,"//*[@id=""main-container""]/div[2]/div[3]/div",,
,,,,,
Platform,Platform_Collectionbutton,XPATH,"//button[@id=""default-view-render-button""]",,
Platform,Platform_CollectioNametextbox,XPATH,"//input[@id=""collectionName""]",,
Platform,Platform_SolaraSimulation,XPATH,//h6[text()='Solara Simulation'],,
Platform,Platform_CollectionCancelButton,XPATH,"//*[@id=""collection-cancel-secondary""]",,
Platform,newProjectCreationButton,ID,createProject, ,
Platform,InputSection,XPATH,//div[text()='Inputs'],,
Platform,NewInputSetButton,XPATH,"//*[@id=""collection-continue-primary""]",,
Platform,NewCollectionName,ID,collectionName,,
Platform,ruleTypesList,XPATH,//h6[@class='text-primary mb-1'],,
Platform,ContinueButton,XPATH,//button[@class='btn btn-primary me-2'],,
landingPage,DesignButton,XPATH,"//*[@id=""2""]",,
landingPage,SelectTest,XPATH,"//*[@id=""new-collection""]/div/div[2]/div/div[4]/select",,
landingPage,SampleSizeRB,XPATH,"//label[@for=""inline-1""]",,
landingPage,Type1ErrorRB,XPATH,"//label[@for=""inline-2""]",,
landingPage,PowerRB,XPATH,"//label[@for=""inline-3""]",,
landingPage,DiffInMeansRB,XPATH,"//label[@for=""inline-4""]",,
landingPage,HazardRatioRB,XPATH,"//label[@for=""inline-4""]",,
landingPage,TestStatisticDD,XPATH,//select[@id='testStatistic'],,
Designs,StastisticalDD,XPATH,//select[@id='statisticalDesign-0'],,
Designs,HypothesisDD,ID,hypothesis, ,
Designs,SampleSizeTB,ID,sampleSize,,
Designs,AllocationRatioTB,ID,allocationRatio,,
Designs,Type1ErrorTB,ID,type1Error,,
Designs,upperType1Error,ID,upperType1Error,,
Designs,lowerType1Error,ID,lowerType1Error,,
Designs,PowerTB,ID,power,,
landingPage,ProbabilityDropoutTB,XPATH,"//input[@id=""probabilityOfDropout""]",,
landingPage,DifferenceofMeansTB,ID,differenceInMeans,,
Designs,MeanTreatmentTB,XPATH," //label[text()=""Mean Treatment""]//..//input[@name='meanTreatment']",,
Designs,MeanControlTB,XPATH," //label[text()=""Mean Control""]//..//input[@name='meanControl']",,
Designs,StandardDeviationTB,XPATH,"//*[@id=""standardDeviation""]",,
Designs,InputMethod,ID,inputMethod,,
Enrollment,Enrollment_leftpanellink,ID,leftPanel.enrollment,,
Enrollment,EnrollmentToggle,ID,includeSwitch,,
Project,Savebutton,ID,save,,
Project,SaveCompute,ID,save-compute,,
Project,Compute,XPATH,//button[text()='Compute'],,
Project,ResultInputSet1,XPATH,//div[1]/div[2]/a,,
Project,ResultInputSet3,XPATH,//div[3]/div[2]/a,,
Project,Keyxpath,XPATH,//div[@col-id='params']//span[@class='ag-cell-value'],,
Project,Valuexpath,XPATH,//div[@col-id='value']//span[@class='ag-cell-value'],,
Project,FirstProject,XPATH,//div/div/div[1]/div[1]/a,,
Project,ResultsPage,XPATH,"//div[text()=""Results""]",,
Project,InputSetBackbutton,ID,backBtn,,
InputSet,IncludeAssurance,XPATH,//input[@name='includeAssurance'],,
InputSet,AssuranceTextbox,XPATH,//input[@name='assurance'],,
InputSet,PriorDistributionForDD,ID,priorDistributionFor,,
InputSet,eDeltaTB,ID,eDelta,,
InputSet,sdDeltaTB,ID,sdDelta,,
InputSet,Assur_InputmethodDD,XPATH,"//*[@id=""assuranceInputMethod""]",,
InputSet,DistributionMethodDD,ID,distributionMethod,,
InputSet,percDelta1stOperator,XPATH,"//*[@id=""percDelta1stOperator""]",,
InputSet,percDelta2ndOperator,XPATH,"//*[@id=""percDelta2ndOperator""]",,
InputSet,percDelta1stPercentileVal,XPATH,"//*[@id=""percDelta1stPercentileVal""]",,
InputSet,percDelta1stPercentileProb,XPATH,"//*[@id=""percDelta1stPercentileProb""]",,
InputSet,percDelta2ndPercentileVal,XPATH,"//*[@id=""percDelta2ndPercentileVal""]",,
InputSet,percDelta2ndPercentileProb,XPATH,"//*[@id=""percDelta2ndPercentileProb""]",,
,,,,,
InputSet,percDeltaBySigma1stOperator,XPATH,"//*[@id=""percDeltaBySigma1stOperator""]",,
InputSet,percDeltaBySigma2ndOperator,XPATH,"//*[@id=""percDeltaBySigma2ndOperator""]",,
InputSet,percDeltaBySigma1stPercentileVal,XPATH,"//*[@id=""percDeltaBySigma1stPercentileVal""]",,
InputSet,percDeltaBySigma1stPercentileProb,XPATH,"//*[@id=""percDeltaBySigma1stPercentileProb""]",,
InputSet,percDeltaBySigma2ndPercentileVal,XPATH,"//*[@id=""percDeltaBySigma2ndPercentileVal""]",,
InputSet,percDeltaBySigma2ndPercentileProb,XPATH,"//*[@id=""percDeltaBySigma2ndPercentileProb""]",,
,,,,,
InputSet,UniformMinTB,XPATH,"//*[@id=""uniformMin""]",,
InputSet,UniformMaxTB,XPATH,"//*[@id=""uniformMax""]",,
InputSet,ChooseFileTB,XPATH,//label[@for='assuranceFile'],,
InputSet,SuperSuperiority_MeanControl,ID,supsup_meanControl,,
InputSet,Noninferiority_MeanControl,ID,nonInf_meanControl,,
InputSet,SuperSuperiority_Margin,ID,supsup_margin,,
InputSet,Noninferiority_Margin,ID,nonInf_margin,,
InputSet,SuperSuperiority_NHmeantreatment,ID,supsup_nhMeanTreatment,,
InputSet,supsup_differenceInMeans,ID,supsup_differenceInMeans,,
InputSet,nonInf_differenceInMeans,ID,nonInf_differenceInMeans,,
InputSet,SuperSuperiority_AHmeantreatment,ID,supsup_ahMeanTreatment,,
InputSet,ResultSet1,XPATH,"//a[text()=""Result - Input Set 1""]",,
InputSet,ResultSet2,XPATH,"//a[text()=""Result - Input Set 2""]",,
InputSet,ResultSet3,XPATH,"//a[text()=""Result - Input Set 3""]",,
InputSet,ResultSets,XPATH,"//a[contains(text(),'Result - Input Set ')]",,
InputSet,CloseResult,XPATH,"//button[@id=""close-tab-0""]",,
InputSet,Simulatebutton,XPATH,"(//button[text()=""Simulate""])[1]",,
InputSet,CreateInputSetbutton,XPATH,//button[text()='Create Input Set'],,
Project,Project_SaveButtonOnNewProjectWindow,XPATH,"//button[@id=""save""]",,
Platform,Project_TimeUnitDropdownClick,XPATH,//label[text()='Time Unit'] //following::div[1],,
Platform,Project_TimeUnitDropdownValueDay,XPATH,//div[text()='Day'],,
