ModelID,Description1,Description2,StatisticalDesign,Distribution,DesignType,TestType,ToCompute,searchDelta,EventCalculationMethod,inputMethodType,ExponentialDropoutRate,MST_Control,MST_Treatment,Hazard_Rate_Control,Hazard_Rate_Treatment,CumPercSurv_ByTime,CumPercSurv_Control,CumPercSurv_Treatment,AccrualDuration,StudyDuration,SampleSize,typeIError,Power,HazardRatio,Power_Output,SampleSize_Fraction,SampleSize_Integer,MST_Treatment_Output,Hazard_Rate_Treatment_Output,CumPercSurv_Treatment_Output,Probability_of_Event,Number_of_Events,Number_of_Events_Integer,CriticalPoint1Sided,LowerCriticalPoint2Sided,UpperCriticalPoint2Sided,Alpha_Output,Attained_Power
1,Hazard Ratio > 1,,FixedSample,Exponential,Superiority,2-Sided,Sample Size,,Lachin and Foulkes,Median Survival Times,1.2,63,50,-999998,-999998,-999998,-999998,-999998,50,100,-999998,0.05,0.94,1.26,-999998,20314.31497,20315,-999998,-999998,-999998,0.011420518,231.2820172,232,-999998,-1.959963985,1.959963985,-999998,-999998
2,Hazard Ratio > 1,High Power,FixedSample,Exponential,Superiority,1-Sided,Sample Size,,Lachin and Foulkes,Hazard Rates,0.01,-999998,-999998,0.028,0.04,-999998,-999998,-999998,60,125,-999998,0.01,0.95,1.428571429,-999998,156.9272631,157,-999998,-999998,-999998,0.790174999,123.9648744,124,2.326347874,-999998,-999998,-999998,-999998
3,Hazard Ratio > 1,Large Accrual and Study Duration ,FixedSample,Exponential,Superiority,1-Sided,Sample Size,,Lachin and Foulkes,Cumulative Percent Survival,0.003,-999998,-999998,-999998,-999998,1,99,98.2,300,500,-999998,0.12,0.7,1.807299865,-999998,10.51043992,11,-999998,-999998,-999998,0.856291465,8.244892529,9,1.174986792,-999998,-999998,-999998,-999998
4,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Power,,Lachin and Foulkes,Median Survival Times,0.07,0.75,1,-999998,-999998,-999998,-999998,-999998,1,1.5,51,0.1,-999998,0.75,0.409172056,-999998,-999998,-999998,-999998,-999998,0.474489473,24.19896313,25,-999998,-1.644853627,1.644853627,-999998,-999998
5,Hazard Ratio > 1,Small Accrual and Study Duration,FixedSample,Exponential,Superiority,2-Sided,Power,,Lachin and Foulkes,Hazard Rates,10,-999998,-999998,20,27,-999998,-999998,-999998,0.25,0.3,23,0.15,-999998,1.35,0.412719125,-999998,-999998,-999998,-999998,-999998,0.717326529,16.49851017,17,-999998,-1.439531471,1.439531471,-999998,-999998
6,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Power,,Lachin and Foulkes,Cumulative Percent Survival,3.5,-999998,-999998,-999998,-999998,50,95.5,98,200,300,155938,0.05,-999998,0.438770183,0.937612981,-999998,-999998,-999998,-999998,-999998,0.000115431,18.000035,19,-999998,-1.959963985,1.959963985,-999998,-999998
7,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Effect Size,Less than 1,Lachin and Foulkes,Median Survival Times,0.07,0.75,-999998,-999998,-999998,-999998,-999998,-999998,1,1.5,51,0.1,0.4,0.754006247,-999998,-999998,-999998,0.994686719,-999998,-999998,0.47622367,24.28740718,25,-999998,-1.644853627,1.644853627,-999998,-999998
8,Hazard Ratio > 1,High Power,FixedSample,Exponential,Superiority,1-Sided,Effect Size,Greater than equal to 1,Lachin and Foulkes,Hazard Rates,0.01,-999998,-999998,0.028,-999998,-999998,-999998,-999998,60,125,157,0.01,0.95,1.428389066,-999998,-999998,-999998,-999998,0.039994894,-999998,0.790150716,124.0536624,125,2.326347874,-999998,-999998,-999998,-999998
9,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Effect Size,Less than 1,Lachin and Foulkes,Hazard Rates,0.1,-999998,-999998,0.75,-999998,-999998,-999998,-999998,1,2,154,0.025,0.7,0.734541669,-999998,-999998,-999998,-999998,0.550906252,-999998,0.521900243,80.37263747,81,-999998,-2.241402728,2.241402728,-999998,-999998
10,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,1-Sided,Alpha,,Lachin and Foulkes,Median Survival Times,0.005,22,27,-999998,-999998,-999998,-999998,-999998,50,75,203,-999998,0.85,0.814814815,-999998,-999998,-999998,-999998,-999998,-999998,0.63817609,129.5497462,130,-1.294535016,-999998,-999998,0.097740341,-999998
11,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Alpha,,Lachin and Foulkes,Median Survival Times,0.07,0.75,1,-999998,-999998,-999998,-999998,-999998,1,1.5,51,-999998,0.4,0.75,-999998,-999998,-999998,-999998,-999998,-999998,0.474489473,24.19896313,25,-999998,-1.668525459,1.668525459,0.095211462,-999998
